,RMS CH1,Response Phase CH1,RMS CH2,Response Phase CH2,RMS CH3,Response Phase CH3,DC CH1,DC CH2,DC CH3
0,9.51266788008665e-06,1.6538904133407613,9.94723339813002e-06,-2.971716287999542,1.3940453281670174e-05,-1.500966652674616,0.3336132576164655,2.995934315405286,1.4734658738836606
0,1.494846008852828e-05,2.8679319889998447,1.913052777902933e-05,1.7191708357487416,3.2344257683605594e-05,-0.4411101477253403,0.32412144642567176,2.9864049018267664,1.4918773510263743
0,6.351386785501472e-06,2.803616702101717,6.485120639927506e-05,2.198267012998704,3.342498689579715e-05,-0.9894871127324564,0.31505841469328405,2.9770142912305495,1.509963043714285
0,1.3366525535069666e-05,2.049641921100752,6.2583373372716546e-06,2.8379179095109084,2.2407045782346024e-05,-0.8770387167630991,0.31092254229995736,2.972574210083174,1.5183241361291926
0,8.834981761485746e-06,2.207178936690251,3.604570875092327e-05,2.5019501046906836,3.193812818257251e-05,-0.8934868066767335,0.31352176612828,2.975568935743585,1.5130363301299334
0,1.4952128749434156e-05,2.2420556159803176,2.9656881744426736e-05,0.3518125495081237,2.2085181675024023e-05,-1.4794059156214274,0.315723958813594,2.97820381006934,1.5086752964675196
0,2.0541457939093007e-05,2.710328155262027,2.672603738872126e-05,-1.9870307421254565,3.76282039535363e-05,-0.11332819588519134,0.32584956583733365,2.9888377156610018,1.4886809525251397
0,2.5633284148593486e-05,2.2587197293016015,2.258664397886174e-05,2.3073004775655273,4.9981460476246876e-05,-0.9114053664954035,0.35305718285706056,3.014394167601916,1.437126251864392
0,1.7046172003524012e-05,1.5787069466295003,7.288028482946797e-06,1.3277497980448585,2.620027438975465e-05,-1.6419118814803435,0.39244343590246916,3.045987197471807,1.367679868660047
0,9.72342025233469e-06,2.528250990516899,1.523108132807268e-05,2.396697257892166,1.8471173734527564e-05,-0.4555038414899342,0.4267699241134719,3.069122742807,1.3113709829882427
0,2.4782857637239842e-05,2.742410412005579,7.325302971859755e-06,2.2211614614353894,3.8164882407945225e-05,-0.5148793298071495,0.45424680632133835,3.0851500068162263,1.2688548804196746
0,1.1935259895408251e-05,1.307853447776713,1.1459926350519255e-05,2.623209802468878,1.5952483852997164e-05,-1.9056535101988874,0.4883248797878601,3.102333545457191,1.2187748193924985
0,1.701803703273546e-05,1.9771420304129572,1.0666590677426226e-05,-2.2004153678366407,1.984145496123853e-05,-0.8904433114505053,0.5312940254553123,3.120428028561715,1.1590210338058864
0,1.5763988939288914e-05,2.3699509945973003,2.5126964973340095e-05,0.7009323340112893,2.024253790298393e-05,-1.0034725528342137,0.5745761105618348,3.135195228860459,1.1022207681304397
0,1.9652472881515474e-05,2.573325293544204,1.7986703207034036e-06,-0.1698259299765068,2.4452726690367886e-05,-0.5740001517674715,0.6116307149536256,3.1453779571264895,1.0560002244821178
