Demodulated Signal 1,Demodulated Signal 2,Demodulated Signal 3,Interferometric Phase,PTI Signal,Response Phase 1,Response Phase 2,Response Phase 3,Root Mean Square 1,Root Mean Square 2,Root Mean Square 3
2.45866e-05,-8.28907e-06,-1.62975e-05,-1.31928,1.74227e-05,2.41846,-0.778289,-0.695565,2.51852e-05,8.40084e-06,1.68035e-05
2.55881e-05,-8.68178e-06,-1.69064e-05,-1.3206,1.81257e-05,2.23367,-0.89525,-0.914429,2.56026e-05,8.69111e-06,1.69126e-05
2.41549e-05,-8.09508e-06,-1.60598e-05,-1.30945,1.71652e-05,2.392,-0.812442,-0.718451,2.4607e-05,8.16307e-06,1.64681e-05
2.48025e-05,-7.9013e-06,-1.69013e-05,-1.29736,1.76893e-05,2.23147,-0.909667,-0.910334,2.48148e-05,7.90533e-06,1.69095e-05
2.36657e-05,-7.80629e-06,-1.58594e-05,-1.29612,1.68849e-05,2.38563,-0.815888,-0.726921,2.40794e-05,7.86837e-06,1.62319e-05
2.68529e-05,-8.32878e-06,-1.85241e-05,-1.29983,1.91372e-05,2.33167,-0.842123,-0.795523,2.70874e-05,8.37015e-06,1.87235e-05
2.43782e-05,-7.93807e-06,-1.64401e-05,-1.30522,1.73455e-05,2.28741,-0.853827,-0.854347,2.44716e-05,7.96874e-06,1.65028e-05
2.20875e-05,-7.61024e-06,-1.44772e-05,-1.31336,1.56782e-05,2.41472,-0.769832,-0.704603,2.26066e-05,7.72389e-06,1.48935e-05
2.45624e-05,-8.07041e-06,-1.64919e-05,-1.32297,1.73876e-05,2.38092,-0.793863,-0.744568,2.49699e-05,8.15929e-06,1.68173e-05
2.43843e-05,-8.47924e-06,-1.59051e-05,-1.33452,1.72075e-05,2.25789,-0.87228,-0.889804,2.44252e-05,8.49965e-06,1.59264e-05
2.29558e-05,-8.69215e-06,-1.42636e-05,-1.35164,1.61284e-05,2.36612,-0.813095,-0.752771,2.32762e-05,8.76441e-06,1.45217e-05
2.80599e-05,-1.06481e-05,-1.74117e-05,-1.37096,1.96244e-05,2.39583,-0.791211,-0.718359,2.86066e-05,1.07697e-05,1.78547e-05
2.68338e-05,-1.054e-05,-1.62938e-05,-1.38812,1.86969e-05,2.29045,-0.853692,-0.849502,2.6944e-05,1.05809e-05,1.63631e-05
2.41443e-05,-1.02793e-05,-1.38651e-05,-1.40397,1.67696e-05,2.26199,-0.88064,-0.878843,2.41908e-05,1.02984e-05,1.38924e-05
2.32741e-05,-1.01322e-05,-1.3142e-05,-1.41572,1.61298e-05,2.32121,-0.870561,-0.782098,2.34462e-05,1.01578e-05,1.33109e-05
2.60683e-05,-1.14821e-05,-1.45863e-05,-1.42941,1.80235e-05,2.33852,-0.834014,-0.778897,2.63204e-05,1.15489e-05,1.47815e-05
2.49011e-05,-1.13673e-05,-1.35338e-05,-1.45345,1.7153e-05,2.25594,-0.894834,-0.877953,2.49402e-05,1.13797e-05,1.35613e-05
2.73128e-05,-1.28692e-05,-1.44435e-05,-1.4873,1.87352e-05,2.34342,-0.817741,-0.780822,2.75961e-05,1.29686e-05,1.46322e-05
2.50041e-05,-1.3e-05,-1.2004e-05,-1.51866,1.71025e-05,2.31861,-0.874185,-0.768228,2.5181e-05,1.30296e-05,1.21867e-05
2.52048e-05,-1.37884e-05,-1.14165e-05,-1.54328,1.7213e-05,2.27202,-0.893585,-0.840675,2.52703e-05,1.38043e-05,1.14748e-05
2.47123e-05,-1.39522e-05,-1.07601e-05,-1.55825,1.68657e-05,2.40943,-0.777326,-0.67489,2.52644e-05,1.41426e-05,1.11545e-05
2.58129e-05,-1.40825e-05,-1.17304e-05,-1.56207,1.76146e-05,2.3874,-0.787383,-0.714906,2.62728e-05,1.42516e-05,1.20384e-05
2.70926e-05,-1.49141e-05,-1.21785e-05,-1.5636,1.8487e-05,2.26035,-0.901359,-0.856667,2.7142e-05,1.49262e-05,1.22225e-05
2.35732e-05,-1.3684e-05,-9.88923e-06,-1.57156,1.60821e-05,2.28209,-0.895563,-0.809963,2.36529e-05,1.36985e-05,9.97552e-06
2.87934e-05,-1.6067e-05,-1.27265e-05,-1.57781,1.9641e-05,2.33726,-0.830614,-0.771417,2.90668e-05,1.61664e-05,1.2913e-05
2.45953e-05,-1.41292e-05,-1.04662e-05,-1.57612,1.67779e-05,2.27895,-0.876061,-0.844579,2.46722e-05,1.41596e-05,1.05156e-05
2.47909e-05,-1.40079e-05,-1.0783e-05,-1.56705,1.69147e-05,2.41105,-0.78686,-0.659415,2.53535e-05,1.41773e-05,1.1227e-05
2.75499e-05,-1.46628e-05,-1.28871e-05,-1.55266,1.88064e-05,2.31337,-0.853998,-0.799078,2.77279e-05,1.47192e-05,1.30191e-05
2.20601e-05,-1.19194e-05,-1.01407e-05,-1.5346,1.50726e-05,2.23702,-0.918656,-0.888043,2.20752e-05,1.19225e-05,1.01552e-05
2.61962e-05,-1.36059e-05,-1.25902e-05,-1.51596,1.79216e-05,2.36801,-0.819026,-0.725256,2.65703e-05,1.37088e-05,1.28907e-05
2.75202e-05,-1.36311e-05,-1.38891e-05,-1.49923,1.88547e-05,2.24988,-0.901834,-0.881793,2.75545e-05,1.36419e-05,1.39139e-05
2.39879e-05,-1.20416e-05,-1.19463e-05,-1.48197,1.64642e-05,2.404,-0.776704,-0.698801,2.44959e-05,1.22072e-05,1.23073e-05
2.57654e-05,-1.18817e-05,-1.38837e-05,-1.45985,1.77326e-05,2.38461,-0.788019,-0.730699,2.62108e-05,1.20232e-05,1.41983e-05
2.50609e-05,-1.0886e-05,-1.4175e-05,-1.43222,1.7319e-05,2.24285,-0.894626,-0.901907,2.50839e-05,1.0898e-05,1.41862e-05
2.27946e-05,-9.71105e-06,-1.30836e-05,-1.4025,1.58366e-05,2.35705,-0.846684,-0.739172,2.30786e-05,9.75496e-06,1.33562e-05
2.69782e-05,-1.0187e-05,-1.67912e-05,-1.37456,1.88526e-05,2.37591,-0.780525,-0.756712,2.7401e-05,1.03206e-05,1.70823e-05
2.59307e-05,-9.64167e-06,-1.6289e-05,-1.35003,1.82258e-05,2.26496,-0.876402,-0.876768,2.59855e-05,9.66219e-06,1.63233e-05
2.26695e-05,-7.99282e-06,-1.46768e-05,-1.32824,1.60244e-05,2.30562,-0.865181,-0.82014,2.27966e-05,8.01621e-06,1.47857e-05
2.53734e-05,-8.39019e-06,-1.69832e-05,-1.30959,1.80304e-05,2.33581,-0.815805,-0.800845,2.56092e-05,8.45701e-06,1.71529e-05
2.52383e-05,-7.84003e-06,-1.73983e-05,-1.29509,1.80126e-05,2.36687,-0.804305,-0.761481,2.55938e-05,7.9145e-06,1.76844e-05
2.22285e-05,-7.01689e-06,-1.52116e-05,-1.28305,1.59248e-05,2.42518,-0.730361,-0.710005,2.28042e-05,7.1764e-06,1.56289e-05
2.29863e-05,-7.04403e-06,-1.59423e-05,-1.27353,1.6519e-05,2.41693,-0.782691,-0.69946,2.3538e-05,7.13391e-06,1.64213e-05
2.69177e-05,-7.39719e-06,-1.95205e-05,-1.2659,1.93939e-05,2.32016,-0.857111,-0.807993,2.71132e-05,7.42366e-06,1.9696e-05
2.1493e-05,-6.32639e-06,-1.51666e-05,-1.25826,1.55263e-05,2.28439,-0.837351,-0.865506,2.15697e-05,6.36092e-06,1.52106e-05
2.53754e-05,-6.7243e-06,-1.86511e-05,-1.2501,1.83838e-05,2.42406,-0.765146,-0.700599,2.60259e-05,6.83035e-06,1.92061e-05
2.39473e-05,-6.36846e-06,-1.75788e-05,-1.24496,1.73815e-05,2.23344,-0.87115,-0.921595,2.39607e-05,6.38429e-06,1.75823e-05
2.3961e-05,-6.68699e-06,-1.72739e-05,-1.24418,1.73963e-05,2.38354,-0.835718,-0.72853,2.43703e-05,6.72464e-06,1.76736e-05
2.50803e-05,-6.36239e-06,-1.87179e-05,-1.245,1.82036e-05,2.26551,-0.893217,-0.870263,2.51342e-05,6.36984e-06,1.87656e-05
