i,X1,Y1,X2,Y2,X3,Y3,DC1,DC2,DC3
114,-0.0000002746,-0.0000019379,0.0000000791,-0.0000002878,0.0000023052,0.0000018923,0.3340654966,0.0059507133,0.5496449002
115,0.0000016154,-0.0000014713,0.0000001224,-0.0000002800,-0.0000010391,0.0000005139,0.3339274896,0.0059497946,0.5497881039
116,-0.0000010125,-0.0000001206,-0.0000000037,-0.0000001981,0.0000005976,0.0000003592,0.3338029219,0.0059468382,0.5499208775
117,0.0000000556,-0.0000005253,0.0000000979,-0.0000002381,0.0000004364,-0.0000007494,0.3336853616,0.0059386381,0.5500293099
118,0.0000007882,0.0000005349,0.0000000894,-0.0000002059,-0.0000025839,-0.0000025821,0.3335646320,0.0059336005,0.5501346551
119,-0.0000002775,-0.0000004666,0.0000000561,-0.0000002176,-0.0000010802,0.0000001969,0.3335264703,0.0059361255,0.5501560966
120,-0.0000003444,-0.0000004053,0.0000000186,-0.0000002654,0.0000005739,0.0000012141,0.3333833188,0.0059272941,0.5502806397
121,0.0000014145,0.0000012183,-0.0000000019,-0.0000002078,-0.0000018307,-0.0000005404,0.3333040764,0.0059314317,0.5503588003
122,0.0000012860,0.0000014252,-0.0000000469,-0.0000002310,0.0000000265,-0.0000004373,0.3333643412,0.0059262316,0.5503303345
123,0.0000017110,0.0000006084,0.0000001234,-0.0000002038,0.0000002726,-0.0000009082,0.3333960019,0.0059284566,0.5502413376
124,0.0000001299,0.0000009558,0.0000000673,-0.0000002381,0.0000001117,0.0000007355,0.3335568621,0.0059325880,0.5500643999
125,0.0000019491,0.0000001297,0.0000000776,-0.0000002684,-0.0000004178,-0.0000002984,0.3336941816,0.0059384881,0.5498959239
126,-0.0000001970,-0.0000006140,-0.0000000089,-0.0000002200,-0.0000008223,0.0000005967,0.3336154454,0.0059377631,0.5499822711
127,0.0000014024,0.0000002417,0.0000000478,-0.0000001810,-0.0000024928,0.0000007631,0.3333483889,0.0059263566,0.5502725593
128,-0.0000002808,-0.0000006056,0.0000000133,-0.0000002560,0.0000007848,-0.0000000649,0.3330863018,0.0059166252,0.5505301323
129,-0.0000005225,-0.0000000809,0.0000000306,-0.0000001912,-0.0000017359,0.0000012714,0.3328361102,0.0059153939,0.5508079531
130,0.0000011083,-0.0000007478,0.0000000373,-0.0000002147,0.0000010569,0.0000013206,0.3326942151,0.0059117063,0.5509259782
131,0.0000009720,-0.0000006526,0.0000000350,-0.0000002808,-0.0000020104,0.0000013741,0.3327130803,0.0059069312,0.5509448262
132,0.0000003993,0.0000001679,0.0000000126,-0.0000002730,0.0000012084,-0.0000007098,0.3329752299,0.0059152626,0.5506283282
133,0.0000004337,0.0000005568,0.0000000646,-0.0000002555,0.0000005557,-0.0000006367,0.3332872052,0.0059267691,0.5502413564
134,0.0000004552,0.0000006633,0.0000000831,-0.0000002566,-0.0000017596,-0.0000009126,0.3334697186,0.0059308754,0.5499942448
135,0.0000008787,0.0000005196,0.0000000745,-0.0000002876,-0.0000008027,-0.0000013052,0.3338096291,0.0059419632,0.5496324703
136,0.0000008114,-0.0000004569,0.0000000398,-0.0000001568,-0.0000013715,-0.0000000619,0.3343201638,0.0059544321,0.5490234405
137,0.0000006159,0.0000002366,0.0000000592,-0.0000002560,0.0000005224,0.0000004120,0.3345557409,0.0059604135,0.5487173539
138,0.0000008971,0.0000002548,0.0000000439,-0.0000002848,-0.0000024693,-0.0000005908,0.3343519558,0.0059530134,0.5489276068
139,-0.0000002332,-0.0000000985,0.0000000124,-0.0000003008,-0.0000003896,0.0000003121,0.3350849845,0.0059769513,0.5479831185
140,-0.0000000963,-0.0000001823,-0.0000000008,-0.0000002061,-0.0000008317,0.0000017492,0.3366875237,0.0060362149,0.5460515588
141,0.0000006473,-0.0000013303,0.0000000906,-0.0000002828,-0.0000010119,0.0000014741,0.3380146301,0.0060898160,0.5444059066
142,0.0000012428,-0.0000002204,0.0000000308,-0.0000001949,-0.0000017280,0.0000019919,0.3390388687,0.0061323793,0.5431621122
143,0.0000020112,-0.0000008434,0.0000001234,-0.0000002588,-0.0000027326,0.0000004766,0.3400737589,0.0061743176,0.5419622132
144,-0.0000005901,-0.0000002228,-0.0000000048,-0.0000002586,0.0000006686,-0.0000002037,0.3411436102,0.0062185434,0.5407297863
145,0.0000008117,-0.0000005674,0.0000000482,-0.0000002641,-0.0000014290,0.0000006153,0.3420672846,0.0062640193,0.5395800195
146,0.0000006185,-0.0000006894,0.0000000428,-0.0000002267,-0.0000020498,0.0000003860,0.3431549447,0.0063200391,0.5383141712
147,0.0000011190,0.0000003594,0.0000001433,-0.0000001855,-0.0000010574,0.0000014920,0.3443498199,0.0063770027,0.5369176241
148,-0.0000005004,-0.0000008433,-0.0000000066,-0.0000002235,0.0000001857,0.0000022227,0.3454727663,0.0064439977,0.5355804958
149,0.0000006968,0.0000005602,0.0000001099,-0.0000001956,-0.0000013060,-0.0000012105,0.3461363101,0.0064807234,0.5347596320
150,0.0000008100,-0.0000002615,0.0000000390,-0.0000003210,-0.0000004997,0.0000000740,0.3457889860,0.0064522729,0.5351061956
151,0.0000009406,-0.0000001280,0.0000001150,-0.0000003064,-0.0000006265,-0.0000001027,0.3452103104,0.0064228348,0.5357216997
152,0.0000006344,0.0000011778,0.0000000840,-0.0000002104,0.0000008194,-0.0000023583,0.3449935547,0.0064121908,0.5360107881
153,0.0000001221,-0.0000003686,0.0000000564,-0.0000001769,-0.0000012590,0.0000009217,0.3450343418,0.0064174284,0.5359356835
154,0.0000008105,0.0000004288,0.0000000484,-0.0000001909,0.0000012720,-0.0000005517,0.3451967710,0.0064233661,0.5357823996
155,0.0000010042,-0.0000004961,-0.0000000030,-0.0000002895,-0.0000004901,0.0000001602,0.3454902312,0.0064427852,0.5354118197
156,0.0000010454,-0.0000003752,0.0000000338,-0.0000002799,-0.0000014685,0.0000001325,0.3458824492,0.0064630168,0.5349370321
157,0.0000006054,-0.0000010094,0.0000001155,-0.0000002952,0.0000000582,0.0000003904,0.3464190001,0.0065000300,0.5342864879
158,-0.0000001801,-0.0000008564,-0.0000000191,-0.0000003444,0.0000004387,0.0000005657,0.3467723688,0.0065107240,0.5338244364
159,-0.0000001767,-0.0000010486,0.0000001553,-0.0000002440,0.0000000969,0.0000001356,0.3470542337,0.0065339619,0.5334684300
160,-0.0000003619,-0.0000005228,0.0000000589,-0.0000002702,0.0000001484,0.0000000464,0.3472646385,0.0065498060,0.5331860909
161,0.0000007768,-0.0000007861,0.0000000787,-0.0000003021,-0.0000003800,0.0000011878,0.3472019984,0.0065415183,0.5332083886
162,0.0000001085,-0.0000016798,0.0000000661,-0.0000003779,-0.0000004137,0.0000008276,0.3470451387,0.0065343432,0.5333828890
163,-0.0000002431,0.0000002387,0.0000000971,-0.0000002674,0.0000006487,-0.0000004400,0.3468325649,0.0065234367,0.5336127399
164,0.0000002676,-0.0000006105,0.0000000683,-0.0000003013,0.0000002748,-0.0000000310,0.3469237277,0.0065289493,0.5335041013
165,-0.0000008409,0.0000008939,-0.0000000188,-0.0000001842,0.0000014536,-0.0000016502,0.3471042283,0.0065382370,0.5332493530
166,-0.0000004792,-0.0000005997,0.0000000192,-0.0000003302,-0.0000005991,-0.0000005493,0.3475751136,0.0065702814,0.5326447040
167,0.0000006519,-0.0000010320,0.0000001105,-0.0000002407,0.0000000379,0.0000013658,0.3480792474,0.0066026007,0.5320325996
168,0.0000004946,-0.0000000444,0.0000001024,-0.0000001752,0.0000001881,0.0000001027,0.3485522956,0.0066290512,0.5314337187
169,-0.0000006844,0.0000022166,-0.0000000148,-0.0000001061,0.0000004044,-0.0000026199,0.3484081190,0.0066247011,0.5315822281
170,-0.0000002370,0.0000005580,0.0000000544,-0.0000001791,-0.0000004332,-0.0000017275,0.3486110477,0.0066395139,0.5313278486
171,-0.0000003036,-0.0000001530,-0.0000000248,-0.0000002675,-0.0000000072,0.0000006999,0.3494875029,0.0066965213,0.5302314762
172,0.0000002867,0.0000002244,0.0000000407,-0.0000001786,-0.0000000242,-0.0000004639,0.3505940907,0.0067717977,0.5288740000
173,0.0000017012,-0.0000006710,0.0000001132,-0.0000002489,-0.0000018143,0.0000004886,0.3514352971,0.0068233299,0.5278540696
174,-0.0000002146,-0.0000004344,0.0000000663,-0.0000001820,0.0000001308,0.0000004603,0.3518246022,0.0068538617,0.5273767760
175,0.0000000778,-0.0000003676,-0.0000000048,-0.0000003082,-0.0000004637,0.0000002936,0.3521535487,0.0068822623,0.5269246360
176,-0.0000004050,-0.0000010639,0.0000000614,-0.0000003278,-0.0000000673,0.0000010866,0.3527638413,0.0069297694,0.5261329441
177,-0.0000004451,-0.0000002335,0.0000000595,-0.0000002590,0.0000003159,0.0000004717,0.3531270489,0.0069552762,0.5256646308
178,-0.0000006856,0.0000007411,-0.0000000894,-0.0000001733,0.0000006539,-0.0000002273,0.3533820600,0.0069792766,0.5253316282
179,-0.0000002298,0.0000013575,-0.0000000140,-0.0000001915,0.0000005253,-0.0000016548,0.3538378870,0.0070080584,0.5247367907
180,0.0000002081,-0.0000000169,0.0000000164,-0.0000002259,-0.0000003522,-0.0000004834,0.3543196301,0.0070450654,0.5241108502
181,0.0000008412,0.0000008667,0.0000000522,-0.0000002357,-0.0000010893,-0.0000003725,0.3547891528,0.0070795348,0.5235135754
182,0.0000012020,0.0000003560,0.0000001190,-0.0000001285,-0.0000004238,-0.0000007078,0.3548867979,0.0070870537,0.5233499239
183,0.0000004378,-0.0000003360,0.0000000065,-0.0000002293,-0.0000011315,0.0000005987,0.3549200588,0.0070906350,0.5233073471
184,0.0000018941,-0.0000002964,0.0000002644,-0.0000003182,-0.0000019063,-0.0000004793,0.3549718849,0.0070970539,0.5232300552
185,-0.0000000757,-0.0000004827,0.0000000449,-0.0000002491,-0.0000002187,0.0000001792,0.3543409957,0.0070494155,0.5239652842
186,-0.0000002316,-0.0000009634,0.0000000110,-0.0000002409,-0.0000005617,0.0000006323,0.3541891554,0.0070365527,0.5240962142
187,-0.0000002027,-0.0000016717,0.0000000560,-0.0000003176,0.0000004278,0.0000016858,0.3550058835,0.0070991039,0.5230548486
188,-0.0000013135,-0.0000000136,-0.0000000498,-0.0000001724,0.0000012605,0.0000001333,0.3561840314,0.0071881681,0.5216102565
189,-0.0000004385,-0.0000015533,0.0000001270,-0.0000003805,0.0000005310,0.0000003509,0.3569915518,0.0072547319,0.5205943007
190,-0.0000009405,-0.0000007404,-0.0000001037,-0.0000002692,0.0000012743,0.0000002336,0.3574364523,0.0072927701,0.5199663729
191,-0.0000004377,-0.0000000333,0.0000000311,-0.0000002936,0.0000006111,-0.0000001010,0.3579632330,0.0073353522,0.5192603096
192,-0.0000006233,0.0000002556,0.0000000346,-0.0000001633,0.0000003313,-0.0000011995,0.3586562686,0.0073802405,0.5183828455
193,0.0000002007,-0.0000005993,0.0000000542,-0.0000002276,-0.0000006227,0.0000002549,0.3589714944,0.0074202538,0.5179690389
194,-0.0000000697,-0.0000002036,0.0000000504,-0.0000002815,0.0000008885,0.0000004282,0.3591398620,0.0074349290,0.5177321951
195,0.0000006973,0.0000002398,0.0000000706,-0.0000001246,-0.0000003988,0.0000002066,0.3591754858,0.0074379229,0.5176762322
196,0.0000004283,0.0000007851,0.0000000036,-0.0000001444,0.0000003222,-0.0000006468,0.3590221891,0.0074279289,0.5178300973
197,-0.0000009799,0.0000002591,-0.0000000109,-0.0000002132,0.0000010958,-0.0000014588,0.3583463372,0.0073668090,0.5186505799
198,0.0000006751,0.0000007523,0.0000000268,-0.0000002102,-0.0000011822,-0.0000015631,0.3580576464,0.0073471836,0.5189928502
199,0.0000009039,-0.0000000237,0.0000001321,-0.0000002513,-0.0000009440,-0.0000007659,0.3581644240,0.0073527962,0.5188394100
200,0.0000002175,0.0000001477,0.0000000070,-0.0000001835,-0.0000003999,0.0000000437,0.3581580231,0.0073516212,0.5188334044
201,-0.0000007156,0.0000003774,0.0000000005,-0.0000002223,0.0000003423,-0.0000005968,0.3580225352,0.0073413210,0.5189718149
202,0.0000015395,-0.0000011721,0.0000001395,-0.0000003571,-0.0000020202,0.0000009611,0.3577616920,0.0073257520,0.5192418428
