Heating,Detector 1,Detector 2,Detector 3,
1.91154,0.41056,0.0131632,0.452669,
1.91679,0.433376,0.0184758,0.423609,
1.92204,0.456504,0.0241009,0.392988,
1.92729,0.47932,0.030976,0.362366,
1.93253,0.500573,0.0391012,0.331432,
1.93778,0.520263,0.0472263,0.301122,
1.94303,0.538391,0.0572265,0.272063,
1.94828,0.554331,0.0672267,0.245191,
1.95352,0.569645,0.0787894,0.217069,
1.95877,0.58246,0.0900397,0.191759,
1.96402,0.593086,0.101915,0.168636,
1.96927,0.60215,0.114103,0.146139,
1.97451,0.608713,0.125665,0.126766,
1.97976,0.613714,0.139103,0.10708,
1.98501,0.617152,0.152228,0.0908319,
1.99025,0.617465,0.165666,0.0761459,
1.9955,0.616527,0.179416,0.0633348,
2.00075,0.613089,0.192229,0.0533358,
2.006,0.607776,0.205667,0.0461491,
2.01124,0.600587,0.218167,0.0405247,
2.01649,0.592149,0.22973,0.0383374,
2.02174,0.580585,0.241293,0.038025,
2.02699,0.568708,0.25223,0.0392748,
2.03223,0.555581,0.262543,0.0442743,
2.03748,0.540266,0.272231,0.0495862,
2.04273,0.524014,0.280981,0.0583353,
2.04798,0.506824,0.289106,0.0692717,
2.05322,0.488696,0.296294,0.0805205,
2.05847,0.469319,0.301606,0.0958314,
2.06372,0.449003,0.307856,0.112392,
2.06897,0.428063,0.311606,0.130515,
2.07421,0.407435,0.315356,0.149576,
2.07946,0.385557,0.316607,0.171136,
2.08471,0.364304,0.317544,0.193009,
2.08996,0.343676,0.317232,0.217069,
2.0952,0.322423,0.315669,0.240504,
2.10045,0.302108,0.312856,0.265501,
2.1057,0.280855,0.310044,0.292373,
2.11094,0.260539,0.304731,0.317995,
2.11619,0.241787,0.298481,0.34518,
2.12144,0.221784,0.292544,0.37299,
2.12669,0.203344,0.283481,0.400799,
2.13193,0.186779,0.275356,0.427671,
2.13718,0.169901,0.265043,0.455794,
2.14243,0.155212,0.255355,0.481728,
2.14768,0.14146,0.24348,0.507663,
2.15292,0.128333,0.23223,0.534535,
2.15817,0.118019,0.21973,0.55797,
2.16342,0.108643,0.206917,0.581093,
2.16867,0.100517,0.194104,0.602028,
2.17391,0.0942657,0.180979,0.622026,
2.17916,0.0898901,0.166916,0.640774,
2.18441,0.0870772,0.153166,0.658272,
2.18966,0.085827,0.139416,0.672646,
2.1949,0.0870772,0.125978,0.684832,
2.20015,0.0895776,0.113165,0.695456,
2.2054,0.0942657,0.100352,0.702643,
2.21064,0.100517,0.0881646,0.709204,
2.21589,0.108643,0.0759769,0.711079,
2.22114,0.118644,0.0653517,0.712017,
2.22639,0.130521,0.055039,0.709204,
2.23163,0.144273,0.0450388,0.704517,
2.23688,0.159587,0.0362886,0.697643,
2.24213,0.17584,0.0294135,0.687332,
2.24738,0.193655,0.0228509,0.674833,
2.25262,0.213658,0.0166008,0.65921,
2.25787,0.233035,0.0125382,0.643586,
2.26312,0.253663,0.00910062,0.624838,
2.26837,0.275854,0.00628806,0.60359,
2.27361,0.29867,0.00472553,0.579843,
2.27886,0.32211,0.00410052,0.556408,
2.28411,0.345239,0.00566305,0.530786,
2.28936,0.369617,0.00722558,0.502351,
2.2946,0.392745,0.0103506,0.475479,
2.29985,0.416499,0.0134757,0.446419,
2.3051,0.439627,0.0191008,0.416423,
2.31034,0.461193,0.0253509,0.386738,
2.31559,0.482446,0.0322261,0.357054,
2.32084,0.503074,0.0403512,0.326745,
2.32609,0.522764,0.0487889,0.29831,
2.33133,0.539329,0.057539,0.270813,
2.33658,0.554956,0.0681642,0.243316,
2.34183,0.569645,0.0781644,0.217381,
2.34708,0.581835,0.0891021,0.192696,
2.35232,0.592774,0.10129,0.169886,
2.35757,0.601525,0.112853,0.148326,
2.36282,0.608401,0.125665,0.127703,
2.36807,0.613714,0.137541,0.109892,
2.37331,0.616527,0.150041,0.0933316,
2.37856,0.618402,0.162541,0.0792706,
2.38381,0.617152,0.175354,0.0667719,
