i,X1,Y1,X2,Y2,X3,Y3,DC D1 con scaled (V),DC D2 con scaled,DC D3 con scaled,Norm D1X,Norm D1Y,Norm D2X,Norm D2Y,Norm D3X,Norm D3Y,Norm DC1 (V),Norm DC2 (V),Norm DC3 (V),Normalised phase (rad),Ernest new,Ernest new phase (rad),Proj Ernest new, 
59,-1.68E-07,-1.99E-07,-6.71E-07,-5.43E-07,8.39E-07,7.42E-07,4.16E-02,9.02E-01,5.53E-01,-5.20E-08,-6.18E-08,-2.01E-07,-1.62E-07,2.47E-07,2.19E-07,-1.41E+00,1.21E+00,2.02E-01,2.75E+00,3.45E-07,7.25E-01,5.01E-08,
60,-6.52E-07,3.42E-07,-1.09E-06,8.26E-07,1.74E-06,-1.17E-06,4.69E-02,9.09E-01,5.40E-01,-2.02E-07,1.06E-07,-3.25E-07,2.47E-07,5.13E-07,-3.44E-07,-1.40E+00,1.23E+00,1.65E-01,2.73E+00,6.44E-07,-5.91E-01,-5.93E-07,
61,-6.47E-07,4.38E-07,-7.06E-07,5.64E-07,1.35E-06,-1.00E-06,5.27E-02,9.17E-01,5.28E-01,-2.00E-07,1.36E-07,-2.11E-07,1.69E-07,3.99E-07,-2.95E-07,-1.38E+00,1.25E+00,1.28E-01,2.70E+00,5.18E-07,-6.37E-01,-4.86E-07,
62,-8.30E-07,7.20E-07,-1.32E-06,4.34E-07,2.15E-06,-1.15E-06,5.84E-02,9.24E-01,5.16E-01,-2.57E-07,2.23E-07,-3.95E-07,1.30E-07,6.34E-07,-3.40E-07,-1.36E+00,1.27E+00,9.20E-02,2.68E+00,7.49E-07,-4.94E-01,-6.59E-07,
63,-9.88E-08,8.34E-07,-7.14E-07,9.45E-07,8.13E-07,-1.78E-06,6.34E-02,9.29E-01,5.06E-01,-3.06E-08,2.58E-07,-2.13E-07,2.82E-07,2.40E-07,-5.24E-07,-1.35E+00,1.29E+00,6.21E-02,2.66E+00,6.00E-07,-1.14E+00,-5.93E-07,
64,-1.49E-07,4.84E-07,-5.69E-07,9.21E-07,7.18E-07,-1.41E-06,6.69E-02,9.33E-01,4.99E-01,-4.61E-08,1.50E-07,-1.70E-07,2.75E-07,2.12E-07,-4.14E-07,-1.34E+00,1.30E+00,4.15E-02,2.65E+00,4.83E-07,-1.10E+00,-4.80E-07,
65,-7.33E-07,5.52E-07,-8.02E-07,1.16E-06,1.53E-06,-1.72E-06,6.86E-02,9.35E-01,4.96E-01,-2.27E-07,1.71E-07,-2.40E-07,3.47E-07,4.52E-07,-5.06E-07,-1.33E+00,1.30E+00,3.15E-02,2.64E+00,7.05E-07,-8.39E-01,-6.97E-07,
66,-4.98E-07,8.65E-07,-2.17E-07,9.97E-07,7.14E-07,-1.86E-06,6.97E-02,9.36E-01,4.94E-01,-1.54E-07,2.68E-07,-6.47E-08,2.98E-07,2.11E-07,-5.49E-07,-1.33E+00,1.31E+00,2.55E-02,2.63E+00,6.12E-07,-1.20E+00,-5.99E-07,
67,-2.35E-07,6.03E-07,-3.02E-07,1.90E-07,5.37E-07,-7.93E-07,7.08E-02,9.37E-01,4.92E-01,-7.28E-08,1.87E-07,-9.02E-08,5.67E-08,1.58E-07,-2.34E-07,-1.33E+00,1.31E+00,1.91E-02,2.63E+00,2.95E-07,-9.78E-01,-2.95E-07,
68,-3.94E-07,3.42E-07,-7.87E-07,-4.55E-09,1.18E-06,-3.37E-07,7.20E-02,9.38E-01,4.89E-01,-1.22E-07,1.06E-07,-2.35E-07,-1.36E-09,3.48E-07,-9.95E-08,-1.33E+00,1.31E+00,1.24E-02,2.63E+00,3.76E-07,-2.82E-01,-2.85E-07,
69,-9.49E-07,2.37E-07,-1.09E-06,3.57E-07,2.04E-06,-5.93E-07,7.28E-02,9.39E-01,4.88E-01,-2.94E-07,7.34E-08,-3.26E-07,1.07E-07,6.01E-07,-1.75E-07,-1.32E+00,1.32E+00,7.78E-03,2.62E+00,6.52E-07,-2.83E-01,-4.95E-07,
70,-8.90E-07,1.11E-06,-7.46E-07,1.18E-06,1.64E-06,-2.29E-06,7.30E-02,9.39E-01,4.88E-01,-2.76E-07,3.44E-07,-2.23E-07,3.53E-07,4.82E-07,-6.76E-07,-1.32E+00,1.32E+00,6.72E-03,2.62E+00,8.65E-07,-9.50E-01,-8.64E-07,
71,4.40E-07,1.43E-06,6.15E-07,1.28E-06,-1.06E-06,-2.71E-06,7.27E-02,9.39E-01,4.88E-01,1.36E-07,4.44E-07,1.84E-07,3.82E-07,-3.11E-07,-8.00E-07,-1.32E+00,1.32E+00,8.56E-03,2.62E+00,8.94E-07,-1.94E+00,-5.21E-07,
72,5.81E-07,2.18E-07,6.12E-07,-1.15E-07,-1.19E-06,-1.03E-07,7.22E-02,9.38E-01,4.89E-01,1.80E-07,6.75E-08,1.83E-07,-3.43E-08,-3.52E-07,-3.04E-08,-1.33E+00,1.31E+00,1.14E-02,2.63E+00,3.68E-07,-3.05E+00,1.73E-07,
73,-9.28E-07,4.78E-08,-9.92E-07,-2.72E-07,1.92E-06,2.24E-07,7.14E-02,9.37E-01,4.91E-01,-2.87E-07,1.48E-08,-2.97E-07,-8.14E-08,5.66E-07,6.62E-08,-1.33E+00,1.31E+00,1.58E-02,2.63E+00,5.93E-07,1.15E-01,-2.66E-07,
74,-1.35E-06,9.99E-07,-1.37E-06,7.52E-07,2.72E-06,-1.75E-06,7.01E-02,9.36E-01,4.93E-01,-4.18E-07,3.09E-07,-4.10E-07,2.25E-07,8.02E-07,-5.16E-07,-1.33E+00,1.31E+00,2.30E-02,2.63E+00,9.94E-07,-5.72E-01,-9.08E-07,
75,-6.33E-07,1.68E-06,-5.98E-07,1.34E-06,1.23E-06,-3.02E-06,6.82E-02,9.34E-01,4.97E-01,-1.96E-07,5.19E-07,-1.79E-07,4.02E-07,3.63E-07,-8.90E-07,-1.34E+00,1.30E+00,3.37E-02,2.64E+00,1.00E-06,-1.18E+00,-9.84E-07,
76,2.71E-07,1.38E-06,3.24E-07,1.12E-06,-5.95E-07,-2.50E-06,6.59E-02,9.32E-01,5.01E-01,8.41E-08,4.28E-07,9.67E-08,3.34E-07,-1.75E-07,-7.37E-07,-1.34E+00,1.30E+00,4.68E-02,2.65E+00,7.90E-07,-1.80E+00,-5.43E-07,
77,2.40E-07,5.83E-07,3.27E-07,2.57E-07,-5.66E-07,-8.39E-07,6.35E-02,9.29E-01,5.06E-01,7.42E-08,1.81E-07,9.76E-08,7.67E-08,-1.67E-07,-2.47E-07,-1.35E+00,1.29E+00,6.14E-02,2.66E+00,3.12E-07,-2.16E+00,-1.22E-07,
