Heating,Detector 1,Detector 2,Detector 3
3.62219,0.179278,0.0225384,0.0977062
3.62744,0.17959,0.0231634,0.0964563
3.63268,0.18084,0.0247259,0.0952064
3.63793,0.181466,0.0269135,0.0939566
3.64318,0.181778,0.029726,0.0923942
3.64843,0.181153,0.0328511,0.090207
3.65367,0.181153,0.0366011,0.0883322
3.65892,0.180528,0.0409762,0.0867698
3.66417,0.179903,0.0459763,0.0842701
3.66942,0.178028,0.0509764,0.0820828
3.67466,0.176465,0.0572265,0.0798956
3.67991,0.174277,0.0634767,0.0773958
3.68516,0.172089,0.0709768,0.0748961
3.6904,0.169901,0.0775394,0.0723963
3.69565,0.166463,0.0853521,0.0698966
3.7009,0.163651,0.0925397,0.0670844
3.70615,0.160213,0.100977,0.0645847
3.71139,0.156775,0.109103,0.0620849
3.71664,0.152086,0.118478,0.0589603
3.72189,0.148648,0.127853,0.056773
3.72714,0.144273,0.136916,0.0536483
3.73238,0.139897,0.145978,0.051461
3.73763,0.135209,0.155353,0.0480239
3.74288,0.130833,0.165041,0.0458366
3.74813,0.125833,0.174104,0.0436494
3.75337,0.120519,0.183791,0.0411496
3.75862,0.116144,0.193167,0.0386499
3.76387,0.110518,0.202229,0.0364626
3.76912,0.106142,0.212229,0.0342754
3.77436,0.100829,0.221292,0.0317756
3.77961,0.0958284,0.22973,0.0302133
3.78486,0.0905152,0.238793,0.0283385
3.7901,0.085827,0.24723,0.0264637
3.79535,0.0808263,0.25473,0.0252138
3.8006,0.0764507,0.26223,0.0236515
3.80585,0.07145,0.269731,0.0220891
3.81109,0.0667618,0.276606,0.0208393
3.81634,0.0620737,0.283481,0.0205268
3.82159,0.0573855,0.289731,0.0192769
3.82684,0.0533224,0.295044,0.018652
3.83208,0.0498845,0.300669,0.0177146
3.83733,0.0464465,0.304731,0.0177146
3.84258,0.0420709,0.309419,0.0170897
3.84783,0.0389454,0.312856,0.0170897
3.85307,0.0361325,0.316294,0.0174021
3.85832,0.0330071,0.319107,0.0180271
3.86357,0.0305067,0.320669,0.0180271
3.86882,0.0283189,0.323169,0.0189645
3.87406,0.0261311,0.323482,0.0195894
3.87931,0.0242558,0.323794,0.0202143
3.88456,0.0226931,0.324107,0.0214642
3.88981,0.0211304,0.322544,0.0224016
3.89505,0.0205053,0.321607,0.0242764
3.9003,0.0201928,0.319419,0.0258387
3.90555,0.0198802,0.316294,0.0270886
3.91079,0.0189426,0.314106,0.0289634
3.91604,0.0208178,0.310044,0.0311507
3.92129,0.0211304,0.305356,0.0330255
3.92654,0.022068,0.300669,0.0355252
3.93178,0.0236307,0.295356,0.0377125
3.93703,0.0248809,0.289418,0.0392748
3.94228,0.0270687,0.283168,0.042087
3.94753,0.0295691,0.276918,0.0448992
3.95277,0.032382,0.268793,0.047399
3.95802,0.0348823,0.261293,0.0495862
3.96327,0.0383203,0.25348,0.0523984
3.96852,0.0417583,0.245043,0.0548982
3.97376,0.0448837,0.236605,0.0577104
3.97901,0.0480092,0.227855,0.0602101
3.98426,0.0526974,0.218792,0.0630223
3.98951,0.057073,0.210042,0.0655221
3.99475,0.061136,0.200354,0.0686467
