i;DC1;DC2;DC3;X1;Y1;X2;Y2;X3;Y3
177;0.02209367;0.7892697;0.8786995;-6.97458E-08;7.01929E-08;3.46906E-07;-8.45415E-07;-2.48104E-07;6.37865E-07
178;0.02220116;0.7885224;0.8793379;-4.98789E-08;5.75487E-08;4.0225E-07;-6.9529E-07;4.745E-08;6.6935E-07
179;0.02229302;0.7878892;0.8798734;-4.32983E-08;5.6161E-08;2.94422E-07;-5.16462E-07;-3.24769E-07;7.02288E-07
180;0.02236141;0.7874284;0.8802614;-1.91817E-08;9.20402E-08;-8.33712E-08;-5.26791E-07;-3.88448E-07;1.04132E-06
181;0.02239944;0.787181;0.8804753;-1.37513E-08;1.00924E-07;3.45544E-08;-3.43313E-07;-8.09549E-08;1.26327E-06
182;0.02241027;0.7871296;0.8805471;-1.39137E-08;9.74806E-08;9.97932E-08;-3.95114E-07;-1.63033E-07;1.21718E-06
183;0.02239623;0.7872433;0.8804842;-3.49061E-08;1.28844E-07;1.29594E-07;-5.39179E-07;-1.11535E-07;1.23017E-06
184;0.02235686;0.787514;0.8802771;-6.1296E-08;1.19564E-07;-2.75921E-07;-3.38617E-07;-4.9048E-07;1.35574E-06
185;0.02229427;0.7879543;0.8799362;-5.47042E-08;1.40879E-07;1.09869E-07;-7.59308E-08;-2.31672E-07;1.51308E-06
186;0.02221002;0.7885536;0.8794635;-5.44644E-08;1.24102E-07;3.57854E-07;-1.5309E-07;1.38884E-07;1.31975E-06
187;0.02210475;0.7893106;0.8788637;-5.271E-08;1.13916E-07;-2.61391E-07;-3.18024E-07;-3.9513E-07;1.12637E-06
188;0.02197566;0.7902428;0.8781158;-3.61412E-08;1.53022E-07;-2.40166E-07;-4.88413E-07;-3.49722E-07;1.24402E-06
189;0.02182162;0.7913687;0.877217;-3.28611E-08;1.40369E-07;-4.08653E-07;-8.10968E-07;-4.78123E-07;8.79497E-07
190;0.02164377;0.7926834;0.8761576;-3.42003E-08;1.06137E-07;3.14232E-07;-9.06651E-07;-3.98103E-08;5.1538E-07
191;0.02144701;0.7941649;0.8749625;-3.7251E-08;1.15993E-07;3.37346E-07;-8.98756E-07;-1.99726E-07;5.09555E-07
192;0.02123343;0.7957989;0.8736272;-4.23175E-08;1.133E-07;-2.10223E-07;-1.06932E-06;-5.99836E-07;4.10536E-07
193;0.02100616;0.7975875;0.8721679;-3.13332E-08;1.03469E-07;-5.15724E-07;-1.07713E-06;-7.92778E-07;3.14766E-07
194;0.02076901;0.7995053;0.8705989;-2.89826E-08;9.76925E-08;-4.07493E-07;-1.25589E-06;-9.90346E-07;-1.70108E-07
195;0.02052497;0.80152;0.8689328;-3.02537E-08;7.31287E-08;-7.16001E-07;-1.25878E-06;-1.2955E-06;1.03164E-08
196;0.02027559;0.8036387;0.8671777;1.13825E-09;9.28076E-08;-7.0121E-07;-1.33357E-06;-1.00222E-06;2.80208E-07
197;0.02002384;0.8058372;0.8653479;-7.10624E-09;8.15193E-08;-5.28808E-07;-1.32854E-06;-9.78933E-07;2.21525E-07
198;0.01977509;0.8080807;0.8634694;-2.19851E-08;6.19557E-08;-2.11003E-07;-7.27054E-07;-9.03269E-07;3.87388E-07
199;0.01953396;0.8103287;0.861567;-1.71399E-08;7.23484E-08;-9.03815E-08;-6.33102E-07;-7.44786E-07;7.16478E-07
200;0.01930402;0.8125511;0.8596815;-5.26728E-09;6.70751E-08;-3.15457E-07;-1.13165E-06;-7.14277E-07;5.58772E-07
201;0.01908679;0.8147226;0.8578256;-1.26009E-08;4.66587E-08;-7.13146E-07;-1.34802E-06;-1.06106E-06;3.39828E-07
202;0.01888486;0.8168292;0.8560206;-2.72113E-08;4.61341E-08;-5.30359E-09;-1.27195E-06;-6.25436E-07;2.60445E-07
203;0.01869848;0.8188677;0.854266;-2.20027E-08;2.59188E-08;-2.68472E-08;-1.12429E-06;-7.04912E-07;3.54148E-07
204;0.01852537;0.8208792;0.8525353;-1.42511E-08;1.74654E-08;2.49022E-07;-9.91845E-07;-2.0147E-07;8.4655E-07
205;0.01836071;0.8228993;0.8507897;-1.01519E-09;2.71608E-08;7.45113E-07;-6.02232E-07;2.28505E-07;1.27212E-06
206;0.01820035;0.8249845;0.8489689;-2.14461E-08;1.2553E-08;6.75107E-07;-3.95711E-07;7.53586E-08;1.26703E-06
207;0.01804258;0.8271855;0.8470311;1.06561E-08;-2.91169E-09;1.1361E-06;-2.79819E-07;6.83091E-07;1.26276E-06
208;0.01789031;0.8294767;0.8449884;1.43166E-08;-1.24496E-08;9.52821E-07;-8.82855E-07;5.52869E-07;8.95403E-07
209;0.01774418;0.8318635;0.8428619;1.44632E-08;-3.3536E-08;1.18805E-06;-9.78297E-07;7.26069E-07;7.41834E-07
210;0.01760321;0.834356;0.8406337;7.23381E-09;-1.99688E-08;1.15136E-06;-5.92808E-07;6.13546E-07;8.88378E-07
211;0.01746772;0.8369617;0.8383023;1.72325E-08;-1.27055E-08;1.5563E-06;-4.37066E-07;1.1397E-06;1.0549E-06
212;0.01733847;0.8396698;0.8358688;2.62559E-08;-5.04138E-10;1.16986E-06;-2.02561E-07;8.75147E-07;1.28195E-06
213;0.01721759;0.8424466;0.8333551;1.10369E-08;3.38708E-09;1.35079E-06;-4.04257E-07;1.15408E-06;0.000001132
214;0.01710689;0.8452284;0.8308116;2.0384E-08;1.21872E-10;9.41183E-07;-3.14509E-07;7.18685E-07;1.09808E-06
215;0.01701026;0.8479605;0.8282923;3.8115E-08;1.19877E-08;7.413E-07;-7.8062E-07;3.17014E-07;5.24905E-07
216;0.0169306;0.8505509;0.825891;6.82269E-08;7.34026E-09;7.37115E-07;-9.53907E-07;1.6171E-07;3.5901E-07
217;0.0168695;0.8529033;0.8237097;4.55653E-08;1.81191E-08;1.16415E-07;-1.23384E-06;-3.98692E-07;3.25092E-07
218;0.01682402;0.8549566;0.8218074;4.821E-08;7.60644E-09;-4.64463E-09;-1.23946E-06;-4.15267E-07;3.39957E-07
219;0.01679141;0.8567057;0.8201749;6.31869E-08;3.80414E-08;-2.30501E-07;-1.22814E-06;-4.96507E-07;2.52326E-07
220;0.01676914;0.8581738;0.8188015;5.7249E-08;2.62792E-08;-4.6444E-07;-1.12334E-06;-5.93864E-07;3.71982E-07
