Time,Interferometric Phase,Sensitivity,PTI Signal
s,rad,1/rad,µrad
3217,1.8194668612649776,0.5955227905737118,-19.256396983157604
3218,1.8254757421554544,0.5945674058916425,-30.062174335043668
3219,1.8291758035370242,0.5939684312679673,-23.357426450540675
3220,1.8305347633559048,0.5937463974580042,-16.534830702981637
3221,1.8299784422213337,0.5938374246366358,-30.311206762487057
3222,1.827760098344558,0.5941985698356319,-28.05384688186176
3223,1.8286173826575483,0.5940593509698011,-22.324345393744064
3224,1.8393056219472355,0.5922870114641979,-24.831824889069193
3225,1.8532666934803181,0.589870087099149,-27.07400309185317
3226,1.8543025980829169,0.5896861646997242,-23.22190129533946
3227,1.8374093544094934,0.5926063964631809,-20.93562240872104
3228,1.8094054161459476,0.5970743523931163,-21.828532154958065
3229,1.7755292198735178,0.6018531403698958,-23.147884561324968
3230,1.7400846776867107,0.6061137699236738,-24.521327271300844
3231,1.7063392512620827,0.6094627086162249,-19.359414005268746
3232,1.676675783208413,0.6118335334130187,-28.65267771578447
3233,1.6542023235072985,0.613271382693318,-23.514594973297868
3234,1.6422379194495587,0.6139105663889193,-14.864667146715712
3235,1.6433770464080488,0.61385349370829,-29.889653682295826
3236,1.6574456768931227,0.6130829820064895,-18.82716177637694
3237,1.6857314628134246,0.6111667649794579,-26.160852996523438
3238,1.72872480314087,0.6073184033707881,-24.431225085292912
3239,1.7817344767668213,0.6010293025845094,-18.645524636229187
3240,1.8310461035182568,0.5936625681457935,-29.462703808454716
3241,1.8651734635121937,0.5877179428921209,-27.47966519798304
3242,1.8875508783472335,0.5834480412305113,-23.993940088481715
3243,1.9026077252759572,0.5804104408327819,-21.441666456033655
3244,1.910960594841552,0.5786685246568005,-28.47411422574958
3245,1.914395347895852,0.5779405162624965,-25.017059578441593
3246,1.9135302919790742,0.5781245107078642,-24.64914024184507
3247,1.907203656628746,0.5794570036217844,-26.810386606049462
3248,1.894225425252012,0.5821177848033375,-23.495257407886943
3249,1.8759433610787455,0.5856995123830918,-26.385889158613644
3250,1.8380003255080588,0.5925070887549875,-22.93679788731328
3251,1.786651528668457,0.6003600563083621,-30.916865485530494
3252,1.7404397841142385,0.6060748518682357,-23.846318844166692
3253,1.7097103444344421,0.609159300312292,-25.920087572793815
3254,1.683719402250961,0.6113192454644193,-27.226577106404882
3255,1.644739832740006,0.6137841687352295,-24.082985833742825
3256,1.5941635668109813,0.6155921821278142,-21.21399027658914
3257,1.5493535463092982,0.6158787963448473,-33.722199233962364
3258,1.5139397155148233,0.6152305335014476,-20.28952131699796
3259,1.4765934151003617,0.6137111244041206,-21.81394354677091
3260,1.4326152250116555,0.6108247915889333,-27.277576744074732
3261,1.3871952520844708,0.6066040014229649,-28.186049445445303
3262,1.345926227632407,0.6016837735258224,-25.59207452388189
3263,1.311541210314037,0.5968013824162915,-18.82803960605605
3264,1.2856007462352752,0.5926507923111057,-27.180502164071353
3265,1.2715692271357013,0.5902393075768693,-31.952466551940773
3266,1.2705321963946181,0.5900564638265208,-21.979155767475223
3267,1.2802474904387358,0.5917445120015814,-27.872245479046317
3268,1.295829045725241,0.5943351463144234,-20.700891256471998
3269,1.3145274626448011,0.5972534711574716,-26.282564752545785
3270,1.3377096557928514,0.600581563777628,-24.848766415034447
3271,1.366822263929279,0.6043036887251215,-21.21253504209904
3272,1.4004149719167478,0.6079620069625623,-29.234547985363918
3273,1.436349100788998,0.6111158295108873,-26.84008445672458
3274,1.4734314665528392,0.6135431452176727,-20.573025520461638
3275,1.5117602939271646,0.6151654242442873,-31.088720421874672
3276,1.5516367272871685,0.6158940928433893,-24.79458119340323
3277,1.5922943763998156,0.6156288512801006,-20.03872942728223
3278,1.631492157800118,0.6144097401159688,-22.310057312699527
3279,1.6601473400212163,0.6129211235756047,-27.33805089190851
3280,1.676194761351915,0.6118675481083633,-24.639602621399213
3281,1.6858234130213252,0.6111597375698682,-25.521037422100587
3282,1.689459779576617,0.6108776814195381,-23.990550340618334
3283,1.685390432409108,0.6111927835316707,-28.441345362891287
3284,1.6766669484790908,0.6118341594230483,-25.339907211390678
3285,1.6692522933496854,0.6123427028182384,-23.123467232218527
3286,1.6651324073936065,0.6126107225629077,-21.786599853997565
3287,1.6579195855340583,0.6130549134238875,-22.743601189402042
3288,1.6425342857574627,0.6138957944712472,-26.68092144349737
3289,1.6228493747845751,0.6147597483373383,-23.66018165814148
3290,1.604837494678888,0.6153415798066694,-22.97299468638374
3291,1.5918238352418759,0.6156377433189049,-27.30260512344061
3292,1.5828801772283714,0.6157808362468704,-25.089027361290892
3293,1.5877580418466106,0.61570889898997,-22.351318003952017
3294,1.6206698265509591,0.6148407644499736,-26.416573530681706
3295,1.6645025107024123,0.6126507842639507,-31.04294936909105
3296,1.6973610260403738,0.6102369791791372,-21.314018645331974
3297,1.7143546778946737,0.6087299589940298,-26.574140003488377
3298,1.7268259015623497,0.6075121271841895,-27.681087082977765
3299,1.7376700786881225,0.606376372020681,-24.662660441799314
3300,1.7359416779621342,0.6065621749776975,-24.55036898975946
3301,1.7136821266196853,0.6087929456530614,-21.95721222771535
3302,1.674145703916564,0.6120108578043237,-27.906737485062763
3303,1.6265457636000726,0.6146156736564115,-24.64018271689851
3304,1.5756567807493103,0.6158604509487813,-18.313380210954772
3305,1.5212084127748788,0.6154265553563686,-30.25997779864068
3306,1.4695344432554927,0.6133276762484109,-21.989626698424498
3307,1.4397402853592998,0.6113727733801828,-88.12544931843708
3308,1.4097857817023407,0.6088602942950602,185.78463228532382
3309,1.3786879989688576,0.6056740112722275,-95.36994037834286
3310,1.3574586106172664,0.6031622483754293,-121.81163084742288
3311,1.3425359674697048,0.6012339063168848,-111.59597929165895
3312,1.337409070544758,0.6005404726117429,-21.49168149350752
3313,1.3409229844205193,0.6010174467906092,-25.721583878151804
3314,1.3524810887248557,0.6025339482928391,3.7946858141951094
3315,1.3709619800357216,0.6047914405516136,-22.73798237403674
3316,1.3969437328810654,0.6076156983691811,-29.511283650356237
3317,1.4267247581659175,0.6103483448630906,-23.605225306924837
3318,1.461693102772498,0.6128659002043645,-19.167789848639924
3319,1.5202970930936126,0.6154037614983054,-26.537084480906206
