Interferometric Phase;PTI;R1;R2;R3;System_Phase_1;System_Phase_2;System_Phase_3
3.02452;-1.44566e-06;4.14228e-08;1.35467e-06;1.12884e-06;-2.47918;-2.06302;2.79313
3.0215;-1.48426e-06;7.55301e-08;1.42941e-06;9.28787e-07;-2.02208;-1.94943;2.80285
3.01836;-1.49216e-06;8.41678e-08;1.48082e-06;8.79915e-07;-1.81881;-1.93557;2.82745
3.01516;-1.42346e-06;9.88312e-08;1.18727e-06;5.67428e-07;-1.68374;-1.65984;2.59008
3.01191;-1.49507e-06;7.47876e-08;1.16069e-06;6.64363e-07;-1.66096;-1.70268;2.1439
3.00858;-1.50887e-06;9.02173e-08;1.16755e-06;9.93507e-07;-1.57071;-1.98421;2.55922
3.00519;-1.43155e-06;7.99401e-08;1.19e-06;6.90662e-07;-1.52431;-1.81049;2.44
3.00176;-1.44907e-06;6.49814e-08;5.38225e-07;1.1146e-06;-1.4562;-1.80078;2.07803
2.9983;-1.43833e-06;7.10174e-08;6.06682e-07;9.22395e-07;-1.43957;-1.34929;1.8961
2.99477;-1.49594e-06;8.18238e-08;4.66599e-07;1.13216e-06;-1.42231;-1.26272;1.79488
